CTL_FNCL_ORG_CD,FILE_ID,POP_FLD_NM,POP_FLD_VERS,EFF_DT,POP_FLD_PRTY,OBS_DT,FLD_NM,SEC_BY_FAC_CD,SEC_BY_MGMT_AREA,LAST_UPDT_TS,LAST_UPDT_ACTV_ID,UPDT_USER_LOGON_ID,SF_CDC_TS
JA,ACTUAL,PV,00,1/1/2024,0045,12/31/9999,DEPT-NO,JA,GLBLS,15:01.0,A,PEPA2A1,15:12.0
JA,ACTUAL,PV,00,1/1/2024,0010,12/31/9999,ORG-AC,JA,GLBLS,15:01.0,A,PEPA2A1,15:12.0
JA,ACTUAL,PV,00,1/1/2024,0040,12/31/9999,ORG,JA,GLBLS,15:01.0,A,PEPA2A1,15:12.0
JA,ACTUAL,PV,00,1/1/2024,0030,12/31/9999,LBR-TYP,JA,GLBLS,15:01.0,A,PEPA2A1,15:12.0
JA,ACTUAL,PV,00,1/1/2024,0050,12/31/9999,FNCT-AC,JA,GLBLS,15:01.0,A,PEPA2A1,15:12.0
JA,ACTUAL,PV,00,1/1/2024,0020,12/31/9999,AC,JA,GLBLS,15:01.0,A,PEPA2A1,15:12.0
JA,ACTUAL,PV,00,1/1/2024,0060,12/31/9999,FAC,JA,GLBLS,15:01.0,A,PEPA2A1,15:12.0
JA,ACTUAL,PV,00,1/1/2024,0005,12/31/9999,BU,JA,GLBLS,15:01.0,A,PEPA2A1,15:12.0
JA,ACTUAL,PV,00,1/1/2024,0015,12/31/9999,BU-ACCT,JA,GLBLS,15:01.0,A,PEPA2A1,15:12.0
JA,ACTUAL,FNCT,00,2/1/2022,0100,12/31/9999,AC,JA,GLBLS,37:25.0,A,PEPA2A1,29:45.0
JA,DETAIL,BU,BU,8/1/2021,0500,12/31/9999,FAC,JA,GLBLS,54:48.0,A,PEPA2A1,29:45.0
JA,ACTUAL,PV,00,8/1/2021,0050,1/1/2024,FNCT-AC,JA,GLBLS,52:13.0,A,PEPA2A1,15:12.0
JA,ACTUAL,PV,00,8/1/2021,0045,1/1/2024,DEPT-NO,JA,GLBLS,52:13.0,A,PEPA2A1,15:12.0
JA,ACTUAL,PV,00,8/1/2021,0040,1/1/2024,ORG,JA,GLBLS,52:13.0,A,PEPA2A1,15:12.0
JA,ACTUAL,PV,00,8/1/2021,0030,1/1/2024,LBR-TYP,JA,GLBLS,52:13.0,A,PEPA2A1,15:12.0
JA,ACTUAL,PV,00,8/1/2021,0020,1/1/2024,AC,JA,GLBLS,52:13.0,A,PEPA2A1,15:12.0
JA,ACTUAL,PV,00,8/1/2021,0015,1/1/2024,DIV-AC,JA,GLBLS,52:13.0,A,PEPA2A1,15:12.0
JA,ACTUAL,PV,00,8/1/2021,0010,1/1/2024,ORG-AC,JA,GLBLS,52:13.0,A,PEPA2A1,15:12.0
JA,ACTUAL,PV,00,8/1/2021,0005,1/1/2024,BU,JA,GLBLS,52:13.0,A,PEPA2A1,15:12.0
JA,ACTUAL,PV,00,8/1/2021,0060,1/1/2024,FAC,JA,GLBLS,52:13.0,A,PEPA2A1,15:12.0
JA,DETAIL,BU,BU,8/1/2021,0300,12/31/9999,AC,JA,GLBLS,54:48.0,A,PEPA2A1,29:45.0
RY,ACTUAL,FNCT,HA,1/1/2006,0500,12/31/9999,ACLVLS,RY,GLBLS,15:21.0,A,RZHZ8E6,50:13.0
